VEN_DIR,DT_MEDICAO,DC_NOME,CHUVA,PRE_INS,VL_LATITUDE,PRE_MIN,UMD_MAX,PRE_MAX,VEN_VEL,UF,PTO_MIN,TEM_MAX,RAD_GLO,PTO_INS,VEN_RAJ,TEM_INS,UMD_INS,CD_ESTACAO,TEM_MIN,VL_LONGITUDE,HR_MEDICAO,UMD_MIN,PTO_MAX
342,2021-01-01,MARABA,0,998.4,-5.366447,996.9,92,998.4,1.1,PA,23.4,26.1,-2.355,23.4,2.1,25.1,91,A240,25.1,-49.051166,0000,88,24.5
29,2021-01-01,MARABA,0,999.6,-5.366447,998.5,92,999.8,1.8,PA,20.3,25.1,1.517,21.5,11.1,22.9,92,A240,22.5,-49.051166,0100,84,23.5
16,2021-01-01,MARABA,0,999.9,-5.366447,999.1,92,1000,3.1,PA,21,23.2,-2.467,21,6.1,22.9,89,A240,22.9,-49.051166,0200,89,21.8
349,2021-01-01,MARABA,0,999.7,-5.366447,999.7,90,1000,2.9,PA,20,22.9,-2.223,20.1,6.1,21.9,90,A240,21.9,-49.051166,0300,88,20.8
308,2021-01-01,MARABA,0,999.2,-5.366447,999.2,91,999.7,1.5,PA,20.1,22,-2.934,20.5,5,22,91,A240,21.8,-49.051166,0400,90,20.5
310,2021-01-01,MARABA,0,999,-5.366447,999,92,999.3,1.1,PA,20.4,22.1,-1.945,20.6,4.3,22.1,92,A240,21.9,-49.051166,0500,91,20.6
341,2021-01-01,MARABA,0,998.1,-5.366447,998.1,93,999,0.8,PA,20.5,22.1,-1.857,20.7,2.4,21.9,93,A240,21.9,-49.051166,0600,91,20.7
7,2021-01-01,MARABA,0,997.7,-5.366447,997.6,93,998.1,0.4,PA,20.7,22.2,-2.36,20.8,1.4,22,93,A240,21.9,-49.051166,0700,93,21
218,2021-01-01,MARABA,0,997.9,-5.366447,997.5,93,997.9,0.8,PA,20.8,22.1,-2.236,20.9,1.5,22.1,93,A240,22,-49.051166,0800,93,20.9
153,2021-01-01,MARABA,0,998.2,-5.366447,997.9,94,998.2,0.9,PA,20.8,22.1,-2.686,20.8,1.5,21.9,94,A240,21.9,-49.051166,0900,93,20.9
182,2021-01-01,MARABA,0,999.3,-5.366447,998.2,94,999.3,1,PA,20.8,22.3,89.943,21.2,2.2,22.3,93,A240,21.9,-49.051166,1000,93,21.2
150,2021-01-01,MARABA,0,1000.4,-5.366447,999.3,93,1000.4,1.4,PA,21.1,23.5,653.088,21.7,2.6,23.4,90,A240,22.3,-49.051166,1100,89,21.9
88,2021-01-01,MARABA,0,1000.3,-5.366447,1000.2,91,1000.4,1.3,PA,21.3,25.8,1469.607,21.7,3.5,25.3,80,A240,23.4,-49.051166,1200,78,22.3
39,2021-01-01,MARABA,0,1000.4,-5.366447,1000.3,81,1000.5,1,PA,21.4,27.5,2019.586,22.4,2.8,27.5,74,A240,25.4,-49.051166,1300,72,22.7
11,2021-01-01,MARABA,0,1000.3,-5.366447,1000.3,75,1000.5,1.2,PA,21.3,28,2174.609,22.3,4.1,28,71,A240,27.3,-49.051166,1400,68,22.6
333,2021-01-01,MARABA,0,999.8,-5.366447,999.8,72,1000.3,1.8,PA,21.7,29.9,3302.99,23.1,4.2,29.7,68,A240,28,-49.051166,1500,65,23.4
1,2021-01-01,MARABA,0,998.9,-5.366447,998.9,70,999.8,2.6,PA,22.2,30.6,2671.16,22.2,5.5,29.4,65,A240,29.2,-49.051166,1600,63,23.9
333,2021-01-01,MARABA,0,997.7,-5.366447,997.7,68,998.9,1.8,PA,21.7,31.5,3227.08,23,5.1,31.5,61,A240,29.4,-49.051166,1700,57,24.1
350,2021-01-01,MARABA,0,996.4,-5.366447,996.4,65,997.7,1.9,PA,22,31.8,2269.331,22,5.2,31.1,58,A240,30.2,-49.051166,1800,58,23.7
320,2021-01-01,MARABA,0,995.3,-5.366447,995.3,63,996.4,1.5,PA,21.6,31.8,2174.135,22.2,4.1,31.6,57,A240,30.9,-49.051166,1900,56,23.5
355,2021-01-01,MARABA,0,994.8,-5.366447,994.8,61,995.4,1.8,PA,21.5,32,1473.837,22.2,3.1,30.9,60,A240,30.9,-49.051166,2000,56,22.8
346,2021-01-01,MARABA,0,996.2,-5.366447,994.9,70,996.2,3.7,PA,21.4,31.1,681.872,22.5,10.1,28.5,70,A240,28.5,-49.051166,2100,57,23.6
326,2021-01-01,MARABA,0,997.5,-5.366447,996,79,997.5,1.4,PA,20.4,28.5,44.784,20.9,10.1,25.5,76,A240,25.4,-49.051166,2200,67,22.4
263,2021-01-01,MARABA,0,997.5,-5.366447,997.3,79,998.1,0.9,PA,20.4,25.8,-1.447,20.8,6.1,24.8,78,A240,24.8,-49.051166,2300,74,21.5
263,2021-01-02,MARABA,0,998.6,-5.366447,997.5,81,998.6,0.7,PA,20.5,24.8,-2.865,20.8,2.3,24.4,81,A240,24.4,-49.051166,0000,77,20.9
357,2021-01-02,MARABA,0,999.1,-5.366447,998.6,89,999.1,0.6,PA,20.8,24.4,-3.057,21.7,2.4,23.7,89,A240,23.7,-49.051166,0100,81,21.7
248,2021-01-02,MARABA,0,999.2,-5.366447,999.1,89,999.4,0.7,PA,21.3,23.9,-2.827,21.8,1.7,23.6,89,A240,23.6,-49.051166,0200,86,21.9
154,2021-01-02,MARABA,0,998.4,-5.366447,998.4,91,999.2,1,PA,21.5,23.7,-2.994,21.6,2.5,23.2,91,A240,23.2,-49.051166,0300,89,21.8
335,2021-01-02,MARABA,0,997.2,-5.366447,997.2,92,998.5,1.1,PA,21.5,23.3,-3.221,21.5,1.9,23.1,91,A240,23.1,-49.051166,0400,90,21.8
203,2021-01-02,MARABA,0,996.9,-5.366447,996.9,92,997.2,1.3,PA,21.5,23.4,-2.617,21.7,2.4,23.2,91,A240,23,-49.051166,0500,91,22
261,2021-01-02,MARABA,0,996.3,-5.366447,996.3,92,996.9,0.9,PA,21.6,23.2,-2.709,21.7,2.6,23.1,91,A240,23.1,-49.051166,0600,91,21.8
209,2021-01-02,MARABA,0,996.4,-5.366447,996.2,92,996.4,0.8,PA,21.4,23.1,-3.401,21.5,2.6,22.9,92,A240,22.8,-49.051166,0700,91,21.6
140,2021-01-02,MARABA,0,996.8,-5.366447,996.3,93,996.9,0.8,PA,21.4,22.9,-2.65,21.4,1.7,22.6,93,A240,22.6,-49.051166,0800,92,21.7
139,2021-01-02,MARABA,0,997.2,-5.366447,996.8,94,997.3,0.6,PA,21.3,22.6,-2.327,21.4,1.3,22.5,94,A240,22.4,-49.051166,0900,93,21.4
119,2021-01-02,MARABA,0,997.9,-5.366447,997.2,94,997.9,0.3,PA,21.4,23,84.828,21.9,1.5,23,93,A240,22.5,-49.051166,1000,93,21.9
356,2021-01-02,MARABA,0,998.4,-5.366447,997.9,93,998.4,1,PA,21.8,24.4,512.83,22.2,1.8,24.3,88,A240,23,-49.051166,1100,88,22.5
340,2021-01-02,MARABA,0,998.8,-5.366447,998.4,89,998.9,1.9,PA,22.1,26.8,1634.477,23.1,4,26.8,80,A240,24.3,-49.051166,1200,78,23.5
337,2021-01-02,MARABA,0,998.9,-5.366447,998.8,83,998.9,2.5,PA,22,27.3,1817.791,22.8,5.1,27.2,77,A240,25.8,-49.051166,1300,77,23.3
305,2021-01-02,MARABA,0,998.7,-5.366447,998.7,79,999,2.2,PA,22.5,28.7,1842.201,22.8,4.8,28.1,73,A240,27,-49.051166,1400,72,23.7
347,2021-01-02,MARABA,0,998.4,-5.366447,998.4,76,998.8,1.7,PA,22.6,28.9,1360.075,23.4,4.6,28.5,74,A240,27.7,-49.051166,1500,71,23.7
258,2021-01-02,MARABA,0,997,-5.366447,997,74,998.4,0.9,PA,22.3,30.3,2750.546,22.3,3.5,30.3,63,A240,28.4,-49.051166,1600,62,23.9
243,2021-01-02,MARABA,0,995.4,-5.366447,995.3,68,997,1.6,PA,22.4,31.4,2879.471,23.3,4.4,31.4,62,A240,30,-49.051166,1700,59,24
19,2021-01-02,MARABA,0,994.9,-5.366447,994.7,82,995.4,3.2,PA,21,32.4,1828.566,21.5,9.8,25.1,81,A240,25,-49.051166,1800,55,23.9
41,2021-01-02,MARABA,5.4,993.5,-5.366447,993.2,88,995.4,0.6,PA,20.9,25.7,737.589,22.9,7.5,25.7,85,A240,23.9,-49.051166,1900,79,23.2
238,2021-01-02,MARABA,0,993.4,-5.366447,993.4,85,993.7,0.9,PA,21.7,28.3,1013.859,22.8,2,28.3,72,A240,25.7,-49.051166,2000,71,23.5
3,2021-01-02,MARABA,0,993.9,-5.366447,993.4,87,993.9,0.9,PA,21.5,28.6,571.322,23.8,2,26.1,87,A240,26.1,-49.051166,2100,66,23.9
275,2021-01-02,MARABA,0,994.9,-5.366447,993.9,92,994.9,0.3,PA,23.4,26.1,25.487,23.5,1.6,24.9,92,A240,24.9,-49.051166,2200,87,24.1
77,2021-01-02,MARABA,0,995.5,-5.366447,994.6,93,995.5,0.4,PA,23.1,25.4,-3.25,23.4,1.4,24.6,93,A240,24.6,-49.051166,2300,90,24
104,2021-01-03,MARABA,0.4,997.4,-5.366447,995.5,93,997.4,2.4,PA,19.8,25,-3.051,20.1,8.9,22,89,A240,22,-49.051166,0000,78,23.8
211,2021-01-03,MARABA,0.8,996.4,-5.366447,996.4,92,997.8,0.7,PA,20.1,22.2,-3.041,20.8,5.3,22.2,92,A240,21.9,-49.051166,0100,89,20.8
326,2021-01-03,MARABA,0.2,996.4,-5.366447,996.4,93,996.7,0.6,PA,20.6,22.3,-2.279,21,1.6,22.2,93,A240,22,-49.051166,0200,91,21.1
275,2021-01-03,MARABA,0.8,995.5,-5.366447,995.4,93,996.4,0.9,PA,20.9,22.5,-1.255,21,2.6,22.3,93,A240,22.1,-49.051166,0300,92,21.4
57,2021-01-03,MARABA,0,995.5,-5.366447,995.4,93,995.6,0.6,PA,20.7,22.3,-2.334,20.8,2,22,93,A240,22,-49.051166,0400,92,21
213,2021-01-03,MARABA,0,996.2,-5.366447,995.4,93,996.2,1.2,PA,20.7,22.2,-1.221,20.8,2.3,22,93,A240,21.9,-49.051166,0500,93,21
273,2021-01-03,MARABA,7.8,996.2,-5.366447,996,94,996.5,1,PA,20.5,22.1,-0.697,20.5,3.5,21.6,94,A240,21.6,-49.051166,0600,92,21
292,2021-01-03,MARABA,9,995.6,-5.366447,995.6,94,996.6,2.6,PA,20.1,21.6,-0.304,20.2,6.1,21.2,94,A240,21.2,-49.051166,0700,93,20.5
